date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:22	45404/45404	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/glyphicons-halflings-regular.ttf	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/bootstrap.css)
17:47:23	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/fonts/glyphicons-halflings-regular.svg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/bootstrap.css)
17:47:24	3234/3234	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:50%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/search.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/search.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:24	16213/16213	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:22%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/1.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/1.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:25	18865/18865	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:50%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/b3.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/b3.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:25	5079/5079	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/climate.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/climate.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:26	57413/57413	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:21%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/shoppy.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/shoppy.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:27	49532/49532	---M--	200	added ('OK')	image/jpeg	date:Thu,%2014%20Nov%202019%2018:17:22%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/login.jpg	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/login.jpg	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:28	2915/2915	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Sep%202017%2018:58:49%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/tick.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/tick.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
17:47:30	2529/2529	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Jan%202021%2014:47:03%20GMT	https://p.w3layouts.com/demos/28-03-2016/shoppy/web/images/arrow.png	C:/My%20Web%20Sites/admin6/p.w3layouts.com/demos/28-03-2016/shoppy/web/images/arrow.png	(from https://p.w3layouts.com/demos/28-03-2016/shoppy/web/css/style.css)
